group 6: size = 24, anomscore = -2553.013811, anomlbl = coffee, recall = 0.129412, precision = 0.458333, auc = 0.035590, f1 = 0.201835
****** M = 24, T = 26, F1-score = 0.100917
group 1: size = 48, anomscore = -2041.075832, anomlbl = ship, recall = 0.232143, precision = 0.270833, auc = 0.038257, f1 = 0.250000
group 18: size = 21, anomscore = -2155.734204, anomlbl = ship, recall = 0.053571, precision = 0.142857, auc = 0.004001, f1 = 0.077922
****** M = 24, T = 30, F1-score = 0.163961
group 7: size = 10, anomscore = -851.555888, anomlbl = coffee, recall = 0.047059, precision = 0.400000, auc = 0.010896, f1 = 0.084211
group 13: size = 21, anomscore = -862.069180, anomlbl = ship, recall = 0.196429, precision = 0.523810, auc = 0.063825, f1 = 0.285714
****** M = 26, T = 6, F1-score = 0.184962
group 13: size = 21, anomscore = -944.310133, anomlbl = ship, recall = 0.196429, precision = 0.523810, auc = 0.063825, f1 = 0.285714
group 25: size = 49, anomscore = -994.399901, anomlbl = coffee, recall = 0.247059, precision = 0.428571, auc = 0.062691, f1 = 0.313433
****** M = 26, T = 10, F1-score = 0.299574
group 13: size = 21, anomscore = -1072.371441, anomlbl = ship, recall = 0.196429, precision = 0.523810, auc = 0.063825, f1 = 0.285714
group 15: size = 28, anomscore = -1124.767605, anomlbl = ship, recall = 0.107143, precision = 0.214286, auc = 0.013411, f1 = 0.142857
****** M = 26, T = 14, F1-score = 0.214286
group 13: size = 21, anomscore = -1142.959403, anomlbl = ship, recall = 0.196429, precision = 0.523810, auc = 0.063825, f1 = 0.285714
group 21: size = 24, anomscore = -1200.745040, anomlbl = ship, recall = 0.035714, precision = 0.083333, auc = 0.001520, f1 = 0.050000
****** M = 26, T = 18, F1-score = 0.167857
group 13: size = 21, anomscore = -1412.016522, anomlbl = ship, recall = 0.196429, precision = 0.523810, auc = 0.063825, f1 = 0.285714
group 14: size = 17, anomscore = -1418.831038, anomlbl = coffee, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 26, T = 22, F1-score = 0.142857
group 15: size = 28, anomscore = -1838.676891, anomlbl = ship, recall = 0.107143, precision = 0.214286, auc = 0.013411, f1 = 0.142857
group 0: size = 13, anomscore = -1879.738645, anomlbl = ship, recall = 0.035714, precision = 0.153846, auc = 0.002862, f1 = 0.057971
****** M = 26, T = 26, F1-score = 0.100414
group 4: size = 55, anomscore = -2087.511524, anomlbl = ship, recall = 0.035714, precision = 0.036364, auc = 0.000655, f1 = 0.036036
group 15: size = 28, anomscore = -2173.677276, anomlbl = ship, recall = 0.107143, precision = 0.214286, auc = 0.013411, f1 = 0.142857
****** M = 26, T = 30, F1-score = 0.089447
group 17: size = 40, anomscore = -942.722499, anomlbl = coffee, recall = 0.070588, precision = 0.150000, auc = 0.005573, f1 = 0.096000
group 18: size = 16, anomscore = -946.012562, anomlbl = ship, recall = 0.071429, precision = 0.250000, auc = 0.009728, f1 = 0.111111
****** M = 28, T = 6, F1-score = 0.103556
group 27: size = 42, anomscore = -1017.149819, anomlbl = ship, recall = 0.214286, precision = 0.285714, auc = 0.035921, f1 = 0.244898
group 17: size = 40, anomscore = -1032.653699, anomlbl = coffee, recall = 0.070588, precision = 0.150000, auc = 0.005573, f1 = 0.096000
****** M = 28, T = 10, F1-score = 0.170449
group 12: size = 25, anomscore = -1382.049987, anomlbl = coffee, recall = 0.070588, precision = 0.240000, auc = 0.009222, f1 = 0.109091
group 27: size = 42, anomscore = -1382.067258, anomlbl = ship, recall = 0.214286, precision = 0.285714, auc = 0.035921, f1 = 0.244898
****** M = 28, T = 14, F1-score = 0.176994
group 3: size = 18, anomscore = -1215.735999, anomlbl = ship, recall = 0.017857, precision = 0.055556, auc = 0.000496, f1 = 0.027027
group 7: size = 58, anomscore = -1224.910664, anomlbl = coffee, recall = 0.364706, precision = 0.534483, auc = 0.121803, f1 = 0.433566
****** M = 28, T = 18, F1-score = 0.230297
group 14: size = 23, anomscore = -1551.712157, anomlbl = ship, recall = 0.053571, precision = 0.130435, auc = 0.003638, f1 = 0.075949
group 23: size = 12, anomscore = -1600.034464, anomlbl = coffee, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 28, T = 22, F1-score = 0.037975
group 24: size = 26, anomscore = -2659.720278, anomlbl = coffee, recall = 0.117647, precision = 0.384615, auc = 0.026219, f1 = 0.180180
group 6: size = 24, anomscore = -3540.229217, anomlbl = coffee, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 28, T = 26, F1-score = 0.090090
group 16: size = 13, anomscore = -1661.727099, anomlbl = ship, recall = 0.017857, precision = 0.076923, auc = 0.000687, f1 = 0.028986
group 22: size = 13, anomscore = -1890.948063, anomlbl = ship, recall = 0.017857, precision = 0.076923, auc = 0.000687, f1 = 0.028986
****** M = 28, T = 30, F1-score = 0.028986
############################################
